届出日,届出番号,不具合装置,状況,対策
2024年9月30日,リコール 国-5536-0,その他(車枠車体),３分割式の突入防止装置において、設計時の確認が不十分であったため、全幅２，０００ｍｍ以上の自動車に装着した場合、当該装置の両側後面の有効表面積が基準を満たさない。そのため、保安基準第１８条の２に適合しない。,全車両、突入防止装置の両側を対策品に交換する。
2024年9月20日,改善対策 国-0698-0,コンピュータ(制御装置),ハイブリッド車のブレーキアクチュエータ用制御コンピュータにおいて、制御プログラムの検討が不十分なため、旋回制動時にブレーキ油圧を適切に調整できないことがある。そのため、一時的に意図どおりの制動力を得られず、予測より制動停止距離が伸びるおそれがある。,全車両、ブレーキアクチュエータ用制御コンピュータのプログラムを対策仕様に修正する。
2024年9月20日,リコール 国-5540-0,座席,前部座席において、取付けボルトの締付けが不適切であったため、走行中の振動等により当該ボルトが緩むものがある。そのため、取付け部から異音が発生し、そのまま使用を続けるとボルトが脱落し、最悪の場合、衝突時に座席が動き、本来の乗員保護性能を発揮できないおそれがある。,全車両、当該ボルトを指示トルクで適切に締付ける。
2024年9月17日,リコール 国-5532-0,その他(車枠車体),塵芥車後部に取付された作業灯において、設計検討が不十分だったため、走行中の振動により取付ブラケットに亀裂が生じるものがある。 そのため、そのままの状態で使用を続けると、当該ブラケットが折損し作業灯が脱落することにより、他の交通の妨げになるおそれがある。,全車両、対策ブラケットへ交換する。
2024年9月11日,リコール 国-5531-0,燃料ホース/パイプ,冷凍機のコンデンサ行き配線において、配索作業が不適切なため、走行振動等により燃料ホースと干渉するものがある。そのため、そのままの状態で使用を続けると燃料ホースが損傷し、最悪の場合、燃料漏れに至るおそれがある。,全車両、コンデンサ行き配線の配索を点検し、配索が不適切な場合は正しい状態に修正する。なお、燃料ホース、コンデンサ行き配線又はその両方に損傷が認められる場合は、損傷している部品を新品に交換する。
2024年7月31日,リコール 国-5528-0,その他(電気装置),コンビネーションメータにおいて、エンジン油圧警告灯の点灯制御プログラムの検討が不十分であったため、油圧不足が生じた際の異常信号を当該メータが受信できない。そのため、エンジン油圧警告灯が点灯しない。,全車両、コンビネーションメータのプログラムを対策仕様に修正する。
2024年7月22日,リコール 国-5508-0,その他(車枠車体),３分割式の突入防止装置において、設計時の確認が不十分なため、全幅２，０００ｍｍ以上の自動車に装着した場合、当該装置の両側後面の有効表面積が４２０ｃｍ２に満たない。 そのため、保安基準第１８条の２に適合していない。,全車両、突入防止装置の両側を対策品に交換する。
2024年7月5日,リコール 国-5510-0,バッテリー,バッテリーの固定具において、開発時の検証が不十分であったため、後方から衝突を受けた際にバッテリーが過度に移動するとともに固定具が外れる場合があり、バッテリーが所定の位置に保持されないおそれがある。,全車両、バッテリー固定具を対策品に交換し、バッテリーストッパーを追加する。
2024年6月14日,リコール 国-5497-0,その他(その他),パノラミックビューまたはバックガイドモニターにおいて、溶着設備の管理が不十分なため、カメラケース接合面の防水性が確保できず、雨水等が浸入することがある。そのため、回路が腐食して導通不良となりカメラ映像が映らず、車両周辺が確認できないおそれがある。,全車両、当該カメラの製造番号を点検し、該当する場合は良品と交換する。
2024年6月14日,リコール 国-5498-0,その他(車枠車体),前面および後面ガラスにおいて、接着工程の管理が不適切なため、接着が不十分なものがある。そのため、そのままの状態で使用を続けると、車両振動等により接着が剥がれて車室内へ水が浸入し、最悪の場合、ガラスが脱落するおそれがある。,全車両、当該ガラスを新品に交換する。
