届出日,届出番号,不具合装置,状況,対策
2024年1月24日,リコール 国-5440-0,その他(車枠車体),運転者席ドアにおいて、側面衝突時のドアロックの作動に関する検証が不十分であったため、衝突時にパワードアロックが作動することがある。そのため、衝突時に全てのドアが施錠され、乗員の救出に時間を要するおそれがある。,全車両、運転者席のドアロックを対策品と交換するとともに取扱説明書に記載のあるキーの操作方法を修正する。なお、対策品の供給に時間を要することから、ご希望されるお客様にはドアロック操作にキーが使用できずリモコン操作のみに制限されるが、衝突時に施錠されない暫定措置を行い、部品の準備が整い次第、改めて案内し対策品に交換する。
2023年12月6日,リコール 国-5422-0,"	装置その他",車両工場の完成検査において、緊急通報装置の音声通話機能に係る検査が不適切なため、道路運送車両の保安基準にかかる当該装置の適合性の検査が適切に行われていなかった。,全車両、緊急通報装置に係る検査を行い、道路運送車両の保安基準にかかる不具合が認められた場合は、当該装置に関連する部品交換等を行う。
2023年12月6日,リコール 国-5425-0,コンピュータ(動力伝,自動変速機内の制御コンピュータ（ＥＣＵ）において、溶接機の管理が不適切なため、ＥＣＵケース接合面に溶接不良のものがある。そのため、そのままの状態で使用を続けると、トランスミッションフルードがケース内部に浸入してフルード内の金属粉により短絡回路が形成され、最悪の場合、走行不能となるおそれがある。,全車両、良品の自動変速機制御コンピュータを搭載したバルブボデーと交換する。
2023年12月4日,リコール 国-5408-0,燃料ホース/パイプ,ショベル・ローダの燃料配管において、配管の構造が不適切なため、作業時の振動により過大な負荷が発生することがある。そのため、そのまま使用を続けると、当該配管が破損し、燃料が漏れるおそれがあり、最悪の場合、エンジン室内の高温部に漏出した燃料が付着し、火災に至るおそれがある。,全車両、燃料配管を対策品に交換する。
2023年11月22日,リコール 国-5416-1,駐車レバー/ペダル,（１）足踏み式パーキングブレーキにおいて、ペダルをボデーに固定するボルトの締付トルク指示が不適切なため、締結力が不足しているものがある。そのため、使用過程で当該ボルトが緩んで脱落し、最悪の場合、パーキングブレーキの操作ができなくなるおそれがある。,（１）全車両、当該ボルトの締付状態を点検し、緩みのあるものは適正トルクで増し締めし、脱落しているものはパーキングブレーキペダルを新品に交換し当該ボルトを適正トルクで締付ける。
2023年11月22日,リコール 国-5416-2,その他(その他),（２）フロントピラーガーニッシュ取付部において、取付用クリップの防水耐久性が不十分なため、経年により車室内に浸水して、電装品のコネクタが被水し短絡することがある。そのため、電動ドアロック等の作動不良や、最悪の場合、電動スライドドア装着車は走行中にスライドドアが開くおそれがある。,（２）全車両、フロントピラーガーニッシュ取付用クリップを対策品に交換し、電動スライドドア装着車は、電動スライドドア制御コンピュータのプログラムを対策仕様に修正する。また、コネクタに被水跡がある場合は、グリスを塗布する。
2023年11月22日,リコール 国-5419-0,その他(制御装置),車載工具の搭載指示が不適切なため、駐車ブレーキ解除用工具（スパナ）が搭載されていない。そのため、故障等により駐車ブレーキが作動したままの状態となった場合に、当該工具を用いて解除することができない。,全車両、駐車ブレーキ解除用工具（スパナ）を搭載する。
2023年11月21日,リコール 国-5412-0,制動灯,高所作業車において、リヤコンビネーションランプの取り付け位置が不適切なため、尾灯および制動灯の視認範囲が道路運送車両の保安基準に適合しないおそれがある。,全車両、尾灯および制動灯の視認範囲を測定し、保安基準に適合しない場合はリヤコンビネーションランプの取り付け位置を車両外側に変更する。
2023年11月17日,リコール 国-5383-0,方向指示器,小型回転式塵芥車　幅広キャブ車において、ハイマウントリアパネル内右側配線の処置が不適切なため、後部扉を開閉する際に後部扉付属部品と接触し断線することがある。そのため、方向指示器及びその他車両後部の灯火が不点灯または点滅回数が保安基準を満たさなくなり、最悪の場合、重大事故につながるおそれがある。,ハイマウントリアパネル右側に新たに配線保護カバーの取付を行う
2023年11月2日,"	リコール 国-5404-0",燃料ポンプ,低圧燃料ポンプのインペラ（樹脂製羽根車）において、成形条件が不適切なため、樹脂密度が低くなって、燃料により膨潤して変形することがある。そのため、インペラがポンプケースと接触して燃料ポンプが作動不良となり、最悪の場合、走行中エンストに至るおそれがある。,全車両、低圧燃料ポンプを対策品と交換する。
